"시도별","성별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"계","계",21173,21614,22232,22222,22682,22831,23188,23561,23775,23688,24033,24527,24955,25299,25897,26178,26409,26725,26822,27123
"계","남자",12401,12609,12988,13090,13276,13323,13481,13712,13835,13840,14041,14333,14568,14745,15057,15156,15241,15368,15372,15463
"계","여자",8772,9005,9243,9131,9406,9508,9707,9849,9940,9847,9992,10193,10387,10554,10840,11022,11168,11356,11450,11660
"서울특별시","계",4668,4736,4807,4811,4917,4959,5015,5084,5077,4983,5059,5150,5145,5146,5209,5165,5146,5152,5080,5086
"서울특별시","남자",2744,2768,2816,2808,2830,2846,2865,2904,2899,2846,2865,2915,2896,2891,2921,2896,2872,2849,2786,2774
"서울특별시","여자",1925,1967,1991,2003,2087,2114,2150,2179,2178,2137,2193,2234,2249,2254,2288,2269,2274,2304,2295,2313
"부산광역시","계",1633,1648,1710,1619,1628,1630,1642,1644,1623,1593,1599,1615,1660,1670,1693,1684,1686,1685,1657,1676
"부산광역시","남자",945,949,980,950,946,935,942,939,926,915,918,934,948,959,975,962,957,961,935,927
"부산광역시","여자",688,699,730,669,681,696,700,705,697,678,682,681,711,711,718,722,729,724,722,749
"대구광역시","계",1092,1118,1153,1143,1168,1158,1148,1144,1135,1142,1163,1170,1208,1205,1227,1246,1247,1239,1226,1219
"대구광역시","남자",628,637,659,658,671,655,649,654,655,660,662,666,683,682,702,715,709,691,680,690
"대구광역시","여자",465,482,494,485,497,503,499,491,480,482,501,504,525,523,524,532,538,548,546,529
"인천광역시","계",1101,1139,1177,1172,1182,1190,1223,1265,1281,1300,1332,1380,1429,1448,1472,1488,1520,1533,1575,1581
"인천광역시","남자",676,691,712,715,713,725,739,761,770,772,795,819,837,844,857,865,883,888,902,899
"인천광역시","여자",424,448,466,457,469,465,485,504,512,528,537,561,592,604,616,623,637,645,672,682
"광주광역시","계",554,579,607,596,610,621,623,643,650,662,680,687,691,706,732,733,730,744,749,750
"광주광역시","남자",321,330,342,346,349,352,351,364,372,382,383,390,399,402,418,423,420,418,419,422
"광주광역시","여자",233,249,265,250,262,269,272,279,278,280,297,297,291,305,314,311,310,326,330,328
"대전광역시","계",579,608,640,638,643,638,653,670,685,688,694,709,724,734,762,770,774,764,759,772
"대전광역시","남자",340,355,369,380,383,376,383,393,403,404,411,418,424,431,445,443,441,438,431,441
"대전광역시","여자",239,253,271,258,260,262,269,277,282,284,283,291,300,303,317,327,333,326,328,331
"울산광역시","계",437,448,471,471,482,482,482,502,519,514,523,539,550,554,556,573,576,584,574,571
"울산광역시","남자",286,292,301,310,311,312,315,325,326,326,330,340,355,364,368,373,366,364,354,350
"울산광역시","여자",151,156,170,162,170,170,168,177,193,188,193,199,195,190,188,200,210,220,221,222
"세종특별자치시","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,148,168
"세종특별자치시","남자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,88,98
"세종특별자치시","여자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,60,69
"경기도","계",4067,4245,4490,4607,4833,4960,5121,5255,5408,5409,5556,5698,5857,6017,6272,6393,6504,6685,6790,6952
"경기도","남자",2483,2583,2749,2840,2941,3017,3082,3152,3233,3280,3386,3460,3552,3614,3733,3764,3826,3927,3989,4057
"경기도","여자",1584,1661,1742,1768,1892,1943,2039,2103,2176,2129,2170,2239,2305,2402,2539,2629,2678,2758,2802,2895
"강원도","계",671,665,687,670,681,676,687,682,689,695,683,692,707,706,721,741,749,790,789,811
"강원도","남자",385,386,393,389,393,391,393,395,396,399,391,397,406,405,411,414,416,437,436,446
"강원도","여자",286,279,294,282,288,286,294,287,293,295,293,294,301,301,309,327,333,352,353,365
"충청북도","계",666,669,684,668,682,682,688,701,719,729,743,759,760,784,823,839,845,861,876,880
"충청북도","남자",383,389,396,396,401,397,397,409,421,419,429,437,439,455,474,481,481,493,512,508
"충청북도","여자",283,280,288,272,281,285,291,293,297,310,314,322,322,329,349,359,364,368,365,372
"충청남도","계",892,897,911,908,943,954,994,1027,1013,1005,1029,1063,1095,1141,1163,1199,1226,1140,1179,1196
"충청남도","남자",506,508,517,532,555,560,578,598,595,596,610,637,654,685,696,716,741,684,696,706
"충청남도","여자",385,389,394,376,388,394,416,428,419,409,419,426,441,457,467,482,486,456,483,490
"전라북도","계",844,853,843,839,829,823,829,842,843,843,839,862,871,895,901,922,940,921,915,928
"전라북도","남자",481,484,481,482,480,468,463,473,478,475,482,497,505,523,526,532,538,530,526,526
"전라북도","여자",362,369,362,357,349,355,366,369,365,367,358,365,366,373,374,390,402,391,388,401
"전라남도","계",981,983,988,969,949,939,935,931,927,934,912,922,943,942,945,962,964,957,961,974
"전라남도","남자",540,533,531,532,524,520,523,517,512,520,512,518,533,533,535,546,540,538,541,549
"전라남도","여자",441,450,456,437,426,419,413,415,416,414,400,404,411,409,409,417,424,419,420,425
"경상북도","계",1368,1375,1379,1363,1363,1355,1365,1359,1360,1354,1370,1375,1395,1403,1441,1433,1443,1447,1427,1430
"경상북도","남자",761,766,770,760,759,761,776,780,783,777,785,788,798,810,837,839,846,848,834,834
"경상북도","여자",607,609,609,604,604,593,588,579,577,577,586,587,598,594,605,594,597,599,593,596
"경상남도","계",1361,1387,1412,1466,1492,1480,1497,1523,1557,1550,1564,1613,1618,1641,1660,1691,1704,1723,1746,1749
"경상남도","남자",784,798,830,843,871,861,873,895,910,912,927,955,976,979,981,1003,1015,1025,1040,1027
"경상남도","여자",577,589,582,623,621,620,624,628,647,638,637,658,642,662,679,687,689,698,706,721
"제주도","계",261,265,273,282,281,284,289,287,289,289,284,294,303,309,322,339,355,374,372,382
"제주도","남자",138,139,142,152,150,149,153,152,157,156,156,161,164,169,176,186,192,201,204,209
"제주도","여자",123,126,131,130,131,135,136,135,132,132,128,133,139,140,146,154,163,173,168,173
