"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)","특성별(1)",특성별(2),계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","전체",계,100.0,20.9,3.9,10.7,1.9,2.6,47.6,,6.1,0.0,6.3,100.0,21.4,4.3,10.9,1.9,2.1,46.4,,6.2,0.1,6.9,100.0,20.8,4.8,10.0,1.6,1.8,46.6,,6.0,0.0,8.3,100.0,21.5,4.6,10.8,2.2,1.2,47.5,,5.9,0.1,6.2,100.0,23.4,4.0,10.3,1.8,1.3,45.9,2.2,4.9,0.0,6.1,100.0,17.7,,12.7,,2.3,50.6,2.7,5.8,0.3,7.8
"전국","동·읍면부",동부,100.0,21.4,4.1,11.3,1.9,2.6,47.3,,5.9,0.0,5.5,100.0,22.0,4.6,11.1,1.8,2.1,46.0,,6.0,0.1,6.4,100.0,21.1,5.1,10.3,1.6,1.9,46.2,,5.7,0.1,8.1,100.0,21.8,4.8,11.0,2.2,1.2,47.1,,5.7,0.1,6.0,100.0,23.9,4.1,10.4,1.8,1.4,46.0,2.1,4.6,0.0,5.6,100.0,17.9,,12.9,,2.2,51.2,2.6,5.5,0.3,7.4
"전국","동·읍면부",읍면부,100.0,18.5,2.7,8.0,1.9,3.0,48.7,,7.2,0.1,10.1,100.0,18.3,2.7,10.0,2.0,2.2,48.1,,7.1,0.3,9.2,100.0,19.6,3.4,8.8,1.6,1.6,48.5,,7.2,0.0,9.4,100.0,19.9,3.4,10.0,1.8,1.2,49.4,,6.8,0.0,7.4,100.0,20.8,3.5,9.5,1.6,1.0,45.8,2.5,6.6,0.1,8.6,100.0,17.1,,11.8,,2.6,47.9,3.2,7.3,0.2,9.8
"전국","성별",남자,100.0,22.2,5.0,9.8,2.3,2.2,45.2,,5.9,0.1,7.4,100.0,22.6,5.7,10.2,2.1,1.8,43.9,,5.5,0.1,8.3,100.0,22.0,6.7,9.0,2.0,1.4,43.5,,5.3,0.0,10.1,100.0,22.6,6.3,10.0,2.6,1.0,44.4,,5.3,0.1,7.7,100.0,23.9,5.6,9.2,2.3,1.2,43.9,2.0,4.6,0.0,7.4,100.0,18.1,,11.1,,2.3,48.9,2.7,5.9,0.5,10.4
"전국","성별",여자,100.0,19.6,2.8,11.5,1.5,3.0,49.9,,6.3,0.0,5.3,100.0,20.2,2.9,11.6,1.7,2.3,48.8,,6.9,0.1,5.6,100.0,19.6,3.0,10.9,1.3,2.2,49.6,,6.7,0.1,6.6,100.0,20.4,2.9,11.6,1.7,1.5,50.5,,6.6,0.0,4.8,100.0,22.9,2.5,11.3,1.3,1.5,47.9,2.4,5.3,0.1,4.8,100.0,17.3,,14.3,,2.3,52.3,2.7,5.7,0.1,5.3
"전국","연령",13∼19세,-,-,-,-,-,-,-,-,-,-,-,100.0,37.1,4.4,11.1,2.7,1.2,27.5,,4.8,0.1,11.2,100.0,34.6,5.7,10.2,2.1,1.0,30.3,,4.1,0.0,11.9,100.0,32.9,5.3,12.2,3.0,1.1,32.7,,4.0,0.1,8.7,100.0,36.2,4.0,11.7,2.3,1.3,31.3,1.7,3.1,,8.4,100.0,28.9,,15.1,,1.9,35.8,2.5,4.4,0.3,11.1
"전국","연령",15∼19세,100.0,34.7,3.0,13.4,2.0,1.7,28.9,,5.7,0.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"전국","연령",20∼29세,100.0,26.4,4.8,14.6,1.9,1.8,41.6,,4.2,0.0,4.7,100.0,27.5,6.1,14.0,2.0,1.7,39.5,,4.6,0.0,4.6,100.0,25.4,6.5,13.5,1.7,1.9,41.3,,3.4,0.1,6.3,100.0,28.5,6.9,12.4,2.6,1.0,39.9,,3.5,0.3,5.1,100.0,31.5,6.0,11.1,2.7,1.3,38.3,1.6,3.0,0.1,4.4,100.0,22.9,,16.7,,2.3,43.4,1.9,3.8,0.7,8.5
"전국","연령",30∼39세,100.0,17.2,4.0,10.0,1.7,2.6,58.8,,3.7,0.0,2.2,100.0,16.0,4.1,10.7,1.2,1.8,58.8,,4.3,0.1,3.1,100.0,17.7,4.2,10.3,1.5,1.7,56.7,,4.0,0.0,3.9,100.0,17.6,4.4,9.8,1.4,1.2,58.9,,3.6,0.1,2.9,100.0,19.5,4.0,10.2,0.9,0.9,58.2,1.2,2.3,0.0,2.8,100.0,13.5,,11.0,,2.0,63.1,1.8,3.5,0.6,4.5
"전국","연령",40∼49세,100.0,20.8,4.9,11.4,2.3,3.4,47.0,,6.9,0.0,3.3,100.0,19.9,5.0,11.5,2.0,2.7,47.6,,7.1,0.1,4.1,100.0,19.5,5.7,11.0,1.6,2.1,47.6,,7.0,0.1,5.3,100.0,19.9,4.5,11.8,2.5,1.3,49.9,,6.5,,3.6,100.0,21.1,4.4,11.3,1.8,1.3,50.2,2.3,4.6,0.0,2.9,100.0,15.1,,12.5,,2.8,56.4,2.9,5.5,0.3,4.6
