"시군구별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"전국",332090,318407,304877,302503,308598,314304,330634,343559,327715,309759,326104,329087,327073,322807,305507,302828,281635,264455,257622,239159
"서울특별시",78745,77376,72696,72750,71553,71286,73924,76399,71753,68841,70466,71519,71695,68819,64823,64193,57643,53776,52005,48261
"부산광역시",23343,21825,20916,20027,19898,18973,20017,21484,20149,18614,20195,20224,20362,20734,18927,18553,17113,15677,14781,13780
"대구광역시",16124,14833,13741,14028,13792,13152,13892,14655,13743,12844,13479,13813,13642,13601,12552,12545,12216,11392,10967,9880
"인천광역시",17857,17066,16851,15720,15900,16515,17261,18227,18108,16643,17407,18013,18079,18010,17251,17118,16092,15235,14850,13401
"광주광역시",9557,8765,8230,7760,8012,7827,8487,8858,8472,8088,8566,8946,8596,8820,8213,7945,7468,7141,6632,6297
"대전광역시",9664,9505,9131,8973,8857,9035,9502,9684,9499,8885,9351,9726,9745,9621,9118,8805,8325,7697,7377,6602
"울산광역시",6890,6730,6512,6528,6647,6939,7493,7563,7837,7267,7660,7768,7887,7998,7674,7483,7006,6331,5894,5442
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,634,743,920,1498,1612,1728,2038,2039
"경기도",69160,68516,68330,68255,70236,72431,77231,81248,78004,73403,78471,79137,79449,77649,74306,73950,70052,66429,66877,62356
"강원도",9898,9162,8378,8413,8235,8496,8731,8930,8517,8081,8365,8338,8225,7946,7785,7876,7468,7295,6994,6762
"충청북도",9586,9325,8684,8423,8534,8390,9291,9834,9512,8666,9171,9542,9275,9307,8774,8872,8334,7990,7827,7239
"충청남도",12097,11113,10421,10551,11418,12107,13373,13766,13354,12708,13185,13216,12849,12482,12040,12331,11792,10961,10970,9826
"전라북도",11362,10281,10687,10246,10111,10196,10429,10864,10399,9605,10525,10353,10022,9823,9211,9060,8216,7817,7219,7005
"전라남도",12069,10772,10039,9858,9675,9984,10507,10854,10480,10051,10461,10266,9827,9995,9357,9275,8554,8049,7587,7413
"경상북도",17061,15884,14600,14240,14000,14639,16178,16623,15634,14499,15592,15942,15383,15421,14183,14273,13363,12190,11687,10637
"경상남도",19900,18849,17905,17558,18375,18664,20789,21555,20497,19494,21170,20769,20140,20291,19056,18671,17580,15978,14996,13613
"제주특별자치도",4022,3708,3574,3379,3325,3382,3576,3495,3445,3279,3515,3582,3482,3638,3593,3676,3705,3654,3638,3358
"국외",4755,4697,4182,5794,10030,12288,9953,9520,8312,8791,8525,7933,7781,7909,7724,6704,5096,5115,5283,5248
